品目分類,品番,品名,価格１,単位,診療区分,診療区分名,外来　使用量,入院　使用量,合計　使用量,外来　使用高,入院　使用高,合計　使用高,整形外科,,,,,,,,,,a・b・c,規格単位,外来規格単位数量,入院規格単位数量,
10,1654,"運動器リハビリテーション料（２）（",180,"単位",,,5,0,5,,,,5,,,,,,,,,,,0,0,0,
10,8000,"運動器リハビリテーション料（２）（",170,"単位",,,1090,0,1090,,,,1090,,,,,,,,,,,0,0,0,
10,8001,"運動器リハビリテーション料（２）（",170,"単位",,,83,0,83,,,,83,,,,,,,,,,,0,0,0,
10,8005,"運動器リハビリテーション料（３）（",85,"単位",,,173,0,173,,,,173,,,,,,,,,,,0,0,0,
10,8030,"労　リハ１．５加算",1.5,,,,48,0,48,,,,48,,,,,,,,,,,0,0,0,
10,8108,"リハビリテーション総合計画評価料１",300,,,,395,0,395,,,,395,,,,,,,,,,,0,0,0,
11,9505,"面談料",11000,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
11,9508,"巻き爪",11000,,,,2,0,2,,,,2,,,,,,,,,,,0,0,0,
11,9509,"巻き爪　再",2000,,,,9,0,9,,,,9,,,,,,,,,,,0,0,0,
11,9510,"巻き爪　材料",4000,,,,2,0,2,,,,2,,,,,,,,,,,0,0,0,
11,9512,"警察提出用　診断書(￥5500)",5500,,,,10,0,10,,,,10,,,,,,,,,,,0,0,0,
11,9519,"自賠責診断書",5500,,,,40,0,40,,,,40,,,,,,,,,,,0,0,0,
11,9520,"自賠責明細書",5500,,,,40,0,40,,,,40,,,,,,,,,,,0,0,0,
11,9561,"文書料",1,"円",,,11000,0,11000,,,,11000,,,,,,,,,,,0,0,0,
11,9568,"三角巾",500,,,,7,0,7,,,,7,,,,,,,,,,,0,0,0,
11,9571,"ソフラウルファ（1320円）",1320,"個",,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
11,9573,"足首ファシリエイド(\1300)",1300,"個",,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
11,9600,"生命保険一般(\4400)",4400,,,,4,0,4,,,,4,,,,,,,,,,,0,0,0,
11,9604,"一般診断書(\2200)",2200,,,,21,0,21,,,,21,,,,,,,,,,,0,0,0,
11,9607,"松葉杖貸出　",5000,,,,18,0,18,,,,18,,,,,,,,,,,0,0,0,
11,9608,"松葉杖返却",-5000,,,,13,0,13,,,,13,,,,,,,,,,,0,0,0,
11,9613,"松葉杖（1日￥50円最大￥1,000円）",50,,,,170,0,170,,,,170,,,,,,,,,,,0,0,0,
11,9620,"診察券再発行(\100）",100,,,,7,0,7,,,,7,,,,,,,,,,,0,0,0,
11,9624,"ストレッチバンド(\800)",800,"個",,,3,0,3,,,,3,,,,,,,,,,,0,0,0,
11,9627,"明細書再発行(\500)",500,"通",,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
11,9628,"処方箋再発行(\500)",500,"通",,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
11,9645,"ファシリエイド　手首",2500,,,,4,0,4,,,,4,,,,,,,,,,,0,0,0,
11,9646,"ファシリエイド　膝",2000,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
11,9696,"サムフィット･ＣＭ(\2,000)",2000,"個",,,2,0,2,,,,2,,,,,,,,,,,0,0,0,
11,9710,"帯状疱疹ワクチン(接種券 \11,500)",11500,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
11,22223,"肺炎球菌ワクチン￥２，０００",2000,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
13,6,"（レセ印字あり",0,,,,1876,0,1876,,,,1876,,,,,,,,,,,0,0,0,
13,11,"（処方箋用コメント",0,,,,2885,0,2885,,,,2885,,,,,,,,,,,0,0,0,
13,92,"（",0,,,,223,0,223,,,,223,,,,,,,,,,,0,0,0,
13,93,"１日１回起床時",0,,,,23,0,23,,,,23,,,,,,,,,,,0,0,0,
13,96,"１日１回朝食後",0,,,,4439,0,4439,,,,4439,,,,,,,,,,,0,0,0,
13,98,"月１回起床時",0,,,,15,0,15,,,,15,,,,,,,,,,,0,0,0,
13,105,"１日１回夕食後",0,,,,610,0,610,,,,610,,,,,,,,,,,0,0,0,
13,111,"１日１回就寝前",0,,,,463,0,463,,,,463,,,,,,,,,,,0,0,0,
13,117,"１日２回朝夕食後",0,,,,3690,0,3690,,,,3690,,,,,,,,,,,0,0,0,
13,122,"１日２回朝食後・就寝前",0,,,,28,0,28,,,,28,,,,,,,,,,,0,0,0,
13,124,"１日２回昼食後・就寝前",0,,,,56,0,56,,,,56,,,,,,,,,,,0,0,0,
13,129,"１日３回毎食前",0,,,,149,0,149,,,,149,,,,,,,,,,,0,0,0,
13,130,"１日３回毎食後",0,,,,3697,0,3697,,,,3697,,,,,,,,,,,0,0,0,
13,140,"１日４回毎食後・就寝前",0,,,,28,0,28,,,,28,,,,,,,,,,,0,0,0,
13,1350,"一包化",0,,,,224,0,224,,,,224,,,,,,,,,,,0,0,0,
13,10008,"土曜日に服用",0,,,,8,0,8,,,,8,,,,,,,,,,,0,0,0,
13,10009,"日曜日に服用",0,,,,8,0,8,,,,8,,,,,,,,,,,0,0,0,
13,6,"（レセ印字あり",0,,,,5110,0,5110,,,,5110,,,,,,,,,,,0,0,0,
13,92,"（",0,,,,25,0,25,,,,25,,,,,,,,,,,0,0,0,
13,300,"痛い時",0,,,,5133,0,5133,,,,5133,,,,,,,,,,,0,0,0,
13,306,"吐き気が強い時",0,,,,20,0,20,,,,20,,,,,,,,,,,0,0,0,
13,310,"不眠時",0,,,,14,0,14,,,,14,,,,,,,,,,,0,0,0,
13,6,"（レセ印字あり",0,,,,5,0,5,,,,5,,,,,,,,,,,0,0,0,
13,11,"（処方箋用コメント",0,,,,18,0,18,,,,18,,,,,,,,,,,0,0,0,
13,24,"（部位",0,,,,794,0,794,,,,794,,,,,,,,,,,0,0,0,
13,25,"日分",0,,,,576,0,576,,,,576,,,,,,,,,,,0,0,0,
13,92,"（",0,,,,30,0,30,,,,30,,,,,,,,,,,0,0,0,
13,186,"１日１回塗布",0,,,,2,0,2,,,,2,,,,,,,,,,,0,0,0,
13,188,"１日数回塗布",0,,,,194,0,194,,,,194,,,,,,,,,,,0,0,0,
13,195,"１日１枚貼付",0,,,,369,0,369,,,,369,,,,,,,,,,,0,0,0,
13,196,"１日２枚貼付",0,,,,180,0,180,,,,180,,,,,,,,,,,0,0,0,
13,197,"１日３枚貼付",0,,,,35,0,35,,,,35,,,,,,,,,,,0,0,0,
13,258,"１日３回点眼（両目）",0,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
13,275,"噴霧",0,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
13,279,"肛門内挿入",0,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
13,281,"１日１回",0,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
13,282,"１日２回",0,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
13,288,"疼痛時",0,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
13,10013,"貼付剤６３枚超の投与理由(F200等)；",0,,,,22,0,22,,,,22,,,,,,,,,,,0,0,0,
13,6,"（レセ印字あり",0,,,,7,0,7,,,,7,,,,,,,,,,,0,0,0,
13,11,"（処方箋用コメント",0,,,,5,0,5,,,,5,,,,,,,,,,,0,0,0,
13,92,"（",0,,,,23,0,23,,,,23,,,,,,,,,,,0,0,0,
13,346,"注射",0,,,,2,0,2,,,,2,,,,,,,,,,,0,0,0,
13,1500,"オンライン資格情報活用実施",0,,,,1007,0,1007,,,,1007,,,,,,,,,,,0,0,0,
13,6,"（レセ印字あり",0,,,,14,0,14,,,,14,,,,,,,,,,,0,0,0,
13,9905,"交付　※※XX年XX月XX日(B012)",0,,,,15182725,0,15182725,,,,15182725,,,,,,,,,,,0,0,0,
13,9906,"交付　※※XX年XX月XX日(B013)",0,,,,10121839,0,10121839,,,,10121839,,,,,,,,,,,0,0,0,
13,9909,"同意書/診断書記載の病名(B013)；",0,,,,4,0,4,,,,4,,,,,,,,,,,0,0,0,
13,9999,"（",0,,,,2,0,2,,,,2,,,,,,,,,,,0,0,0,
13,0,"初回算定日",0,,,,20243464,0,20243464,,,,20243464,,,,,,,,,,,0,0,0,
13,0,"初回 ※※XX年XX月XX日(ﾊﾞｲｵ後導初)",0,,,,10121719,0,10121719,,,,10121719,,,,,,,,,,,0,0,0,
13,6,"（レセ印字あり",0,,,,14,0,14,,,,14,,,,,,,,,,,0,0,0,
13,130,"１日３回毎食後",0,,,,14,0,14,,,,14,,,,,,,,,,,0,0,0,
13,6,"（レセ印字あり",0,,,,490,0,490,,,,490,,,,,,,,,,,0,0,0,
13,300,"痛い時",0,,,,490,0,490,,,,490,,,,,,,,,,,0,0,0,
13,24,"（部位",0,,,,56,0,56,,,,56,,,,,,,,,,,0,0,0,
13,25,"日分",0,,,,38,0,38,,,,38,,,,,,,,,,,0,0,0,
13,92,"（",0,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
13,188,"１日数回塗布",0,,,,18,0,18,,,,18,,,,,,,,,,,0,0,0,
13,195,"１日１枚貼付",0,,,,20,0,20,,,,20,,,,,,,,,,,0,0,0,
13,196,"１日２枚貼付",0,,,,15,0,15,,,,15,,,,,,,,,,,0,0,0,
13,197,"１日３枚貼付",0,,,,2,0,2,,,,2,,,,,,,,,,,0,0,0,
13,6,"（レセ印字あり",0,,,,3,0,3,,,,3,,,,,,,,,,,0,0,0,
13,6,"（レセ印字あり",0,,,,52,0,52,,,,52,,,,,,,,,,,0,0,0,
13,6,"（レセ印字あり",0,,,,345,0,345,,,,345,,,,,,,,,,,0,0,0,
13,24,"（部位",0,,,,266,0,266,,,,266,,,,,,,,,,,0,0,0,
13,6,"（レセ印字あり",0,,,,80,0,80,,,,80,,,,,,,,,,,0,0,0,
13,24,"（部位",0,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
13,0,"算定　ＸＸ日",0,,,,70,0,70,,,,70,,,,,,,,,,,0,0,0,
13,6,"（レセ印字あり",0,,,,155,0,155,,,,155,,,,,,,,,,,0,0,0,
13,4631,"前回 ※※XX年XX月XX日(D2171)",0,,,,121428198,0,121428198,,,,121428198,,,,,,,,,,,0,0,0,
13,99992,"初回(D2171)",0,,,,6,0,6,,,,6,,,,,,,,,,,0,0,0,
13,0,"時間外緊画診断 XX日XX時XX分 (E)",0,,,,2620780,0,2620780,,,,2620780,,,,,,,,,,,0,0,0,
13,6,"（レセ印字あり",0,,,,165,0,165,,,,165,,,,,,,,,,,0,0,0,
13,7,"（レセ印字なし",0,,,,9,0,9,,,,9,,,,,,,,,,,0,0,0,
13,11,"（処方箋用コメント",0,,,,2,0,2,,,,2,,,,,,,,,,,0,0,0,
13,16,"右",0,,,,271,0,271,,,,271,,,,,,,,,,,0,0,0,
13,17,"左",0,,,,266,0,266,,,,266,,,,,,,,,,,0,0,0,
13,18,"両側",0,,,,21,0,21,,,,21,,,,,,,,,,,0,0,0,
13,24,"（部位",0,,,,24,0,24,,,,24,,,,,,,,,,,0,0,0,
13,1800,"比較の為撮影",0,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
13,7168,"正側",0,,,,614,0,614,,,,614,,,,,,,,,,,0,0,0,
13,7169,"両",0,,,,35,0,35,,,,35,,,,,,,,,,,0,0,0,
13,8100,"正斜",0,,,,86,0,86,,,,86,,,,,,,,,,,0,0,0,
13,6,"（レセ印字あり",0,,,,5,0,5,,,,5,,,,,,,,,,,0,0,0,
13,8009,"H002　発症日　※※XX年XX月XX日",0,,,,6739964007,0,6739964007,,,,6739964007,,,,,,,,,,,0,0,0,
13,8107,"疾患名（H002）；",0,,,,1429,0,1429,,,,1429,,,,,,,,,,,0,0,0,
13,6,"（レセ印字あり",0,,,,14,0,14,,,,14,,,,,,,,,,,0,0,0,
13,7,"（レセ印字なし",0,,,,3,0,3,,,,3,,,,,,,,,,,0,0,0,
13,24,"（部位",0,,,,11,0,11,,,,11,,,,,,,,,,,0,0,0,
13,10001,"末尾コメント",0,,,,3,0,3,,,,3,,,,,,,,,,,0,0,0,
14,20024,"ミヤＢＭ錠",5.7,"錠",1,,84,0,84,478.8,0,478.8,84,,,,,,,,,,,1,84,0,
14,20037,"アクテムラ皮下注１６２ｍｇオートイ",32608,"ｷｯﾄ",4,,4,0,4,130432,0,130432,4,,,,,,,,,,,1,4,0,
14,20059,"リンヴォック錠１５ｍｇ",4325.8,"錠",1,,84,0,84,363367.2,0,363367.2,84,,,,,,,,,,,1,84,0,
14,20063,"レバミピド錠１００ｍｇ「オーツカ」",10.1,"錠",1,,443,0,443,4474.3,0,4474.3,443,,,,,,,,,,,1,443,0,
14,20079,"ツムラ桂枝加朮附湯エキス顆粒（医療",14.9,"ｇ",1,,262.5,0,262.5,3911.25,0,3911.25,262.5,,,,,,,,,,,1,262.5,0,
14,20090,"ジセレカ錠１００ｍｇ",2141.9,"錠",1,,29,0,29,62115.1,0,62115.1,29,,,,,,,,,,,1,29,0,
14,20102,"ラベプラゾールＮａ塩錠１０ｍｇ「オ",26.9,"錠",1,,28,0,28,753.2,0,753.2,28,,,,,,,,,,,1,28,0,
14,20117,"ボノテオ錠５０ｍｇ",1557.7,"錠",1,,2,0,2,3115.4,0,3115.4,2,,,,,,,,,,,1,2,0,
14,20160,"エペリゾン塩酸塩５０ｍｇ錠",5.9,"錠",1,,483,0,483,2849.7,0,2849.7,483,,,,,,,,,,,1,483,0,
14,20175,"アムバロ配合錠「サンド」",16.9,"錠",1,,60,0,60,1014,0,1014,60,,,,,,,,,,,1,60,0,
14,20196,"リカルボン錠５０ｍｇ",1644.5,"錠",1,,10,0,10,16445,0,16445,10,,,,,,,,,,,1,10,0,
14,20197,"バゼドキシフェン錠２０ｍｇ「サワイ",28.7,"錠",1,,70,0,70,2009,0,2009,70,,,,,,,,,,,1,70,0,
14,20198,"リマプロストアルファデクス錠５μｇ",10.9,"錠",1,,56,0,56,610.4,0,610.4,56,,,,,,,,,,,1,56,0,
14,20199,"エルデカルシトールカプセル０．７５",19.9,"cap",1,,84,0,84,1671.6,0,1671.6,84,,,,,,,,,,,1,84,0,
14,20213,"ロキソプロフェンナトリウム６０ｍｇ",9.8,"錠",1,,56,0,56,548.8,0,548.8,56,,,,,,,,,,,1,56,0,
14,20220,"アルファカルシドール０．５μｇ錠",5.9,"錠",1,,56,0,56,330.4,0,330.4,56,,,,,,,,,,,1,56,0,
14,20221,"アルファカルシドール１μｇ錠",5.9,"錠",1,,28,0,28,165.2,0,165.2,28,,,,,,,,,,,1,28,0,
14,20228,"エピナスチン塩酸塩２０ｍｇ錠",15.8,"錠",1,,112,0,112,1769.6,0,1769.6,112,,,,,,,,,,,1,112,0,
14,20244,"リセドロン酸Ｎａ錠７５ｍｇ「トーワ",365,"錠",1,,2,0,2,730,0,730,2,,,,,,,,,,,1,2,0,
14,20249,"メジコン錠１５ｍｇ",5.7,"錠",1,,42,0,42,239.4,0,239.4,42,,,,,,,,,,,1,42,0,
14,20261,"アルファロールカプセル０．５μｇ",8.1,"cap",1,,175,0,175,1417.5,0,1417.5,175,,,,,,,,,,,1,175,0,
14,20263,"インテバンクリーム１％",3.7,"ｇ",3,,75,0,75,277.5,0,277.5,75,,,,,,,,,,,1,75,0,
14,20269,"トプシムスプレー０．０１４３％",10,"ｇ",3,,28,0,28,280,0,280,28,,,,,,,,,,,1,28,0,
14,20274,"プレドニゾロン錠　１ｍｇ",8.3,"錠",1,,301,0,301,2498.3,0,2498.3,301,,,,,,,,,,,1,301,0,
14,20275,"プレドニゾロン錠　５ｍｇ",9.8,"錠",1,,30,0,30,294,0,294,30,,,,,,,,,,,1,30,0,
14,20285,"リンデロン－Ｖクリーム０．１２％",18.6,"ｇ",3,,50,0,50,930,0,930,50,,,,,,,,,,,1,50,0,
14,20288,"テラムロ配合錠ＡＰ「トーワ」",23.8,"錠",1,,35,0,35,833,0,833,35,,,,,,,,,,,1,35,0,
14,20290,"テリパラチドＢＳ皮下注キット６００",17587,"ｷｯﾄ",4,,9,0,9,158283,0,158283,9,,,,,,,,,,,1,9,0,
14,20292,"エルデカルシトールカプセル０．５μ",14.1,"cap",1,,196,0,196,2763.6,0,2763.6,196,,,,,,,,,,,1,196,0,
14,20293,"ミノドロン酸錠５０ｍｇ「トーワ」",552.9,"錠",1,,2,0,2,1105.8,0,1105.8,2,,,,,,,,,,,1,2,0,
14,20294,"エパルレスタット錠５０ｍｇ「サワイ",22.7,"錠",1,,84,0,84,1906.8,0,1906.8,84,,,,,,,,,,,1,84,0,
14,20295,"ミノドロン酸錠５０ｍｇ「ニプロ」",552.9,"錠",1,,1,0,1,552.9,0,552.9,1,,,,,,,,,,,1,1,0,
14,20299,"メトトレキサート２ｍｇカプセル",54,"cap",1,,74,0,74,3996,0,3996,74,,,,,,,,,,,1,74,0,
14,20319,"フェルビナク３％ローション",2.8,"mL",3,,1500,0,1500,4200,0,4200,1500,,,,,,,,,,,1,1500,0,
14,20320,"ツムラ六君子湯エキス顆粒（医療用）",18,"ｇ",1,,225,0,225,4050,0,4050,225,,,,,,,,,,,1,225,0,
14,20323,"フルスルチアミン錠２５ｍｇ「トーワ",5.5,"錠",1,,168,0,168,924,0,924,168,,,,,,,,,,,1,168,0,
14,20325,"メトトレキサート錠２ｍｇ「あゆみ」",87.2,"錠",1,,295,0,295,25724,0,25724,295,,,,,,,,,,,1,295,0,
14,20326,"ゼポラステープ４０ｍｇ　１０ｃｍ×",16.2,"枚",3,,63,0,63,1020.6,0,1020.6,63,,,,,,,,,,,1,63,0,
14,20328,"ロキソプロフェンＮａテープ１００ｍ",17.1,"枚",3,,70,0,70,1197,0,1197,70,,,,,,,,,,,1,70,0,
14,20335,"セレコキシブ１００ｍｇ錠",6.1,"錠",1,,70,0,70,427,0,427,70,,,,,,,,,,,1,70,0,
14,20336,"Ｌ－アスパラギン酸Ｃａ錠２００ｍｇ",5.7,"錠",1,,168,0,168,957.6,0,957.6,168,,,,,,,,,,,1,168,0,
14,20340,"ケフラール細粒小児用１００ｍｇ",44.3,"ｇ",1,,7.8,0,7.8,345.54,0,345.54,7.8,,,,,,,,,,,1,7.8,0,
14,20341,"ユリノーム錠５０ｍｇ",11.8,"錠",1,,28,0,28,330.4,0,330.4,28,,,,,,,,,,,1,28,0,
14,20345,"ジクトルテープ７５ｍｇ",154.5,"枚",3,,231,0,231,35689.5,0,35689.5,231,,,,,,,,,,,1,231,0,
14,20347,"ユリス錠０．５ｍｇ",27.7,"錠",1,,112,0,112,3102.4,0,3102.4,112,,,,,,,,,,,1,112,0,
14,20348,"ユリス錠１ｍｇ",50.5,"錠",1,,168,0,168,8484,0,8484,168,,,,,,,,,,,1,168,0,
14,20352,"デルモゾールＧクリーム",27.7,"ｇ",3,,15,0,15,415.5,0,415.5,15,,,,,,,,,,,1,15,0,
14,20358,"ケトプロフェン（２０ｍｇ）７ｃｍ×",12.3,"枚",3,,63,0,63,774.9,0,774.9,63,,,,,,,,,,,1,63,0,
14,20368,"ラロキシフェン塩酸塩錠６０ｍｇ「サ",23.9,"錠",1,,28,0,28,669.2,0,669.2,28,,,,,,,,,,,1,28,0,
14,20371,"デエビゴ錠５ｍｇ",82.7,"錠",1,,28,0,28,2315.6,0,2315.6,28,,,,,,,,,,,1,28,0,
14,20375,"カルボシステイン錠２５０ｍｇ「ＪＧ",6.7,"錠",1,,42,0,42,281.4,0,281.4,42,,,,,,,,,,,1,42,0,
14,20385,"ツートラム錠５０ｍｇ",51.7,"錠",1,,448,0,448,23161.6,0,23161.6,448,,,,,,,,,,,1,448,0,
14,20388,"ツムラ五苓散エキス顆粒（医療用）",13.6,"ｇ",1,,210,0,210,2856,0,2856,210,,,,,,,,,,,1,210,0,
14,20390,"ケトコナゾール２％クリーム",13.8,"ｇ",3,,300,0,300,4140,0,4140,300,,,,,,,,,,,1,300,0,
14,20454,"レバミピド１００ｍｇ錠",10.1,"錠",1,,518,0,518,5231.8,0,5231.8,518,,,,,,,,,,,1,518,0,
14,20472,"ロキソプロフェンＮａテープ１００ｍ",17.1,"枚",3,,126,0,126,2154.6,0,2154.6,126,,,,,,,,,,,1,126,0,
14,20478,"カトレップパップ７０ｍｇ　１０ｃｍ",17.1,"枚",3,,65,0,65,1111.5,0,1111.5,65,,,,,,,,,,,1,65,0,
14,20480,"ジクロフェナクＮａゲル１％「ＮＩＧ",3.3,"ｇ",3,,150,0,150,495,0,495,150,,,,,,,,,,,1,150,0,
14,20493,"Ｌ－アスパラギン酸Ｃａ錠２００ｍｇ",5.7,"錠",1,,112,0,112,638.4,0,638.4,112,,,,,,,,,,,1,112,0,
14,20495,"アセトアミノフェン「ＪＧ」原末",7.5,"ｇ",2,,13,0,13,97.5,0,97.5,13,,,,,,,,,,,1,13,0,
14,20506,"リンラキサー錠２５０ｍｇ",10.1,"錠",1,,42,0,42,424.2,0,424.2,42,,,,,,,,,,,1,42,0,
14,20511,"アレンドロン酸錠３５ｍｇ「日医工」",204.9,"錠",1,,8,0,8,1639.2,0,1639.2,8,,,,,,,,,,,1,8,0,
14,20517,"ミノドロン酸錠５０ｍｇ「ＹＤ」",552.9,"錠",1,,3,0,3,1658.7,0,1658.7,3,,,,,,,,,,,1,3,0,
14,20522,"ゾルピデム酒石酸塩５ｍｇ口腔内崩壊",10.1,"錠",1,,28,0,28,282.8,0,282.8,28,,,,,,,,,,,1,28,0,
14,20523,"ツムラ大建中湯エキス顆粒（医療用）",13.7,"ｇ",1,,210,0,210,2877,0,2877,210,,,,,,,,,,,1,210,0,
14,20526,"ファモチジンＯＤ錠１０ｍｇ「トーワ",10.1,"錠",1,,56,0,56,565.6,0,565.6,56,,,,,,,,,,,1,56,0,
14,20528,"ヘパリン類似物質油性クリーム０．３",5.1,"ｇ",3,,50,0,50,255,0,255,50,,,,,,,,,,,1,50,0,
14,20532,"タクロリムス錠１ｍｇ「あゆみ」",153.5,"錠",1,,234,0,234,35919,0,35919,234,,,,,,,,,,,1,234,0,
14,20533,"トコフェロールニコチン酸エステルカ",7.5,"cap",1,,56,0,56,420,0,420,56,,,,,,,,,,,1,56,0,
14,20555,"メコバラミン０．５ｍｇ錠",5.7,"錠",1,,84,0,84,478.8,0,478.8,84,,,,,,,,,,,1,84,0,
14,20556,"ランソプラゾールＯＤ錠１５ｍｇ「サ",12.4,"錠",1,,28,0,28,347.2,0,347.2,28,,,,,,,,,,,1,28,0,
14,20557,"プレガバリン２５ｍｇ口腔内崩壊錠",8,"錠",1,,112,0,112,896,0,896,112,,,,,,,,,,,1,112,0,
14,20558,"ソラナックス０．４ｍｇ錠",5.9,"錠",1,,28,0,28,165.2,0,165.2,28,,,,,,,,,,,1,28,0,
14,20559,"トアラセット配合錠「ＴＣ」",14.3,"錠",1,,28,0,28,400.4,0,400.4,28,,,,,,,,,,,1,28,0,
14,20560,"アドナ錠３０ｍｇ",8.1,"錠",1,,28,0,28,226.8,0,226.8,28,,,,,,,,,,,1,28,0,
14,20561,"アスパラカリウム錠３００ｍｇ",5.9,"錠",1,,28,0,28,165.2,0,165.2,28,,,,,,,,,,,1,28,0,
14,20562,"ツムラ防風通聖散エキス顆粒（医療用",13.8,"ｇ",1,,210,0,210,2898,0,2898,210,,,,,,,,,,,1,210,0,
14,20565,"ビムパット錠５０ｍｇ",217.8,"錠",1,,56,0,56,12196.8,0,12196.8,56,,,,,,,,,,,1,56,0,
14,20568,"ジクアス点眼液３％　５ｍＬ",358.3,"瓶",3,,5,0,5,1791.5,0,1791.5,5,,,,,,,,,,,1,5,0,
14,21009,"タリオンＯＤ錠１０ｍｇ",23.6,"錠",1,,56,0,56,1321.6,0,1321.6,56,,,,,,,,,,,1,56,0,
14,21023,"フォリアミン錠　５ｍｇ",9.8,"錠",1,,129,0,129,1264.2,0,1264.2,129,,,,,,,,,,,1,129,0,
14,21025,"メチコバール錠５００μｇ　０．５ｍ",10.1,"錠",1,,878,0,878,8867.8,0,8867.8,878,,,,,,,,,,,1,878,0,
14,21026,"２５ｍｇアリナミンＦ糖衣錠",5.9,"錠",1,,84,0,84,495.6,0,495.6,84,,,,,,,,,,,1,84,0,
14,21032,"プレドニン錠５ｍｇ",9.8,"錠",1,,49,0,49,480.2,0,480.2,49,,,,,,,,,,,1,49,0,
14,21033,"ノイロトロピン錠４単位",28.5,"錠",1,,960,0,960,27360,0,27360,960,,,,,,,,,,,1,960,0,
14,21034,"ＳＧ配合顆粒",8.2,"ｇ",2,,28,0,28,229.6,0,229.6,28,,,,,,,,,,,1,28,0,
14,21035,"カロナールシロップ２％",4.7,"mL",1,,94.5,0,94.5,444.15,0,444.15,94.5,,,,,,,,,,,1,94.5,0,
14,21035,"カロナールシロップ２％",4.7,"mL",2,,32.5,0,32.5,152.75,0,152.75,32.5,,,,,,,,,,,1,32.5,0,
14,21037,"カロナール錠２００　２００ｍｇ",6.7,"錠",1,,1377,0,1377,9225.9,0,9225.9,1377,,,,,,,,,,,1,1377,0,
14,21037,"カロナール錠２００　２００ｍｇ",6.7,"錠",2,,1630,0,1630,10921,0,10921,1630,,,,,,,,,,,1,1630,0,
14,21038,"カロナール錠３００　３００ｍｇ",7,"錠",1,,105,0,105,735,0,735,105,,,,,,,,,,,1,105,0,
14,21038,"カロナール錠３００　３００ｍｇ",7,"錠",2,,70,0,70,490,0,490,70,,,,,,,,,,,1,70,0,
14,21040,"カロナール錠５００　５００ｍｇ",11.2,"錠",1,,224,0,224,2508.8,0,2508.8,224,,,,,,,,,,,1,224,0,
14,21042,"アザルフィジンＥＮ錠５００ｍｇ",29.7,"錠",1,,155,0,155,4603.5,0,4603.5,155,,,,,,,,,,,1,155,0,
14,21043,"ケアラム錠２５ｍｇ",101.3,"錠",1,,398,0,398,40317.4,0,40317.4,398,,,,,,,,,,,1,398,0,
14,21044,"リウマトレックスカプセル２ｍｇ",132.4,"cap",1,,59,0,59,7811.6,0,7811.6,59,,,,,,,,,,,1,59,0,
14,21053,"リリカＯＤ錠２５ｍｇ",36.4,"錠",1,,574,0,574,20893.6,0,20893.6,574,,,,,,,,,,,1,574,0,
14,21057,"リリカＯＤ錠７５ｍｇ",60.2,"錠",1,,798,0,798,48039.6,0,48039.6,798,,,,,,,,,,,1,798,0,
14,21059,"タリージェ錠２．５ｍｇ",67.2,"錠",1,,429,0,429,28828.8,0,28828.8,429,,,,,,,,,,,1,429,0,
14,21060,"タリージェ錠５ｍｇ",92.5,"錠",1,,4862,0,4862,449735,0,449735,4862,,,,,,,,,,,1,4862,0,
14,21061,"タリージェ錠１０ｍｇ",127.9,"錠",1,,112,0,112,14324.8,0,14324.8,112,,,,,,,,,,,1,112,0,
14,21062,"タリージェ錠１５ｍｇ",154.8,"錠",1,,56,0,56,8668.8,0,8668.8,56,,,,,,,,,,,1,56,0,
14,21067,"ハイペン錠１００ｍｇ",9.7,"錠",1,,28,0,28,271.6,0,271.6,28,,,,,,,,,,,1,28,0,
14,21069,"ボルタレンＳＲカプセル３７．５ｍｇ",8.8,"cap",1,,96,0,96,844.8,0,844.8,96,,,,,,,,,,,1,96,0,
14,21070,"ボルタレン錠２５ｍｇ",7.9,"錠",1,,224,0,224,1769.6,0,1769.6,224,,,,,,,,,,,1,224,0,
14,21072,"セレコックス錠１００ｍｇ",23.8,"錠",1,,569,0,569,13542.2,0,13542.2,569,,,,,,,,,,,1,569,0,
14,21076,"ロキソニン錠６０ｍｇ",10.1,"錠",1,,4542,0,4542,45874.2,0,45874.2,4542,,,,,,,,,,,1,4542,0,
14,21076,"ロキソニン錠６０ｍｇ",10.1,"錠",2,,4140,0,4140,41814,0,41814,4140,,,,,,,,,,,1,4140,0,
14,21077,"トラムセット配合錠",31.7,"錠",1,,280,0,280,8876,0,8876,280,,,,,,,,,,,1,280,0,
