品目分類,品番,品名,価格１,単位,診療区分,診療区分名,外来　使用量,入院　使用量,合計　使用量,外来　使用高,入院　使用高,合計　使用高,整形外科,,,,,,,,,,a・b・c,規格単位,外来規格単位数量,入院規格単位数量,
3,1501,"医療情報取得加算１（初診）",3,,,,358,0,358,,,,358,,,,,,,,,,,0,0,0,
3,1502,"医療情報取得加算２（初診）",1,,,,186,0,186,,,,186,,,,,,,,,,,0,0,0,
3,1520,"医療ＤＸ推進体制整備加算（初診）",8,,,,546,0,546,,,,546,,,,,,,,,,,0,0,0,
3,1601,"労　初診料",3850,,,,18,0,18,,,,18,,,,,,,,,,,0,0,0,
3,1606,"労　救急管理加算外",1250,,,,14,0,14,,,,14,,,,,,,,,,,0,0,0,
3,8950,"夜間・早朝等加算（初診）",50,,,,42,0,42,,,,42,,,,,,,,,,,0,0,0,
3,3,"他保険にて再診料請求済み",0,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
3,1022,"休日加算（再診）（入院外）",190,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
3,1200,"明細書発行体制等加算",1,,,,2246,0,2246,,,,2246,,,,,,,,,,,0,0,0,
3,1251,"再診料",75,,,,2050,0,2050,,,,2050,,,,,,,,,,,0,0,0,
3,1254,"同日再診料",75,,,,9,0,9,,,,9,,,,,,,,,,,0,0,0,
3,1265,"外来管理加算",52,,,,328,0,328,,,,328,,,,,,,,,,,0,0,0,
3,1503,"医療情報取得加算３（再診）",2,,,,290,0,290,,,,290,,,,,,,,,,,0,0,0,
3,1504,"医療情報取得加算４（再診）",1,,,,225,0,225,,,,225,,,,,,,,,,,0,0,0,
3,1607,"労　同日再診",1420,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
3,1620,"労　再診料",1420,,,,186,0,186,,,,186,,,,,,,,,,,0,0,0,
3,1697,"乳幼児加算（再診）",38,,,,9,0,9,,,,9,,,,,,,,,,,0,0,0,
3,8953,"夜間・早朝等加算（再診）",50,,,,127,0,127,,,,127,,,,,,,,,,,0,0,0,
3,1030,"特定疾患療養指導料",225,,,,1,0,1,,,,1,,,,,,,,,,,0,0,0,
3,1059,"難病外来指導管理料",270,,,,2,0,2,,,,2,,,,,,,,,,,0,0,0,
3,1310,"診療情報提供Ａ",250,,,,15,0,15,,,,15,,,,,,,,,,,0,0,0,
3,1314,"療養費同意書交付料",100,,,,2,0,2,,,,2,,,,,,,,,,,0,0,0,
